Id,cateId,picS,picB,name,describe,price,originPrice,author,brand,publishDate,isPChome,isNC17,couponActid,BU
DEABHV-A900B18XQ,DQCD3G,/items/DEABHVA900B18XQ/000001_1648015117.jpg,/items/DEABHVA900B18XQ/000001_1648015117.jpg,《HOPMA》工業風四門十層鞋櫃-漂流木,"《HOPMA》工業風四門十層鞋櫃 台灣製造 玄關櫃 收納櫃 置物邊櫃 鞋架-淺橡(漂流)木\r\ndiy家具
磁扣開合設計
層板半圓孔溝槽固定不滑動
防撞墊片貼心設計
透氣孔設計鞋櫃不悶臭",1350,1350,,,,1,0,"['C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C047169']",ec
DQCD0C-A900GJNHK,DQCD0C,/items/DQCD0CA900GJNHK/000001_1709196971.jpg,/items/DQCD0CA900GJNHK/000001_1709196971.jpg,鞋櫃 收納鞋架 鞋架 鞋盒 木質十層鞋架  儲物 玄關 多功能 置物 收納架,鞋櫃 收納鞋架 鞋架 鞋盒 木質十層鞋架 八層鞋架 儲物 玄關 多功能 置物 收納架\r\n,1684,1684,,,,1,0,"['C044306', 'C044307', 'C044308', 'C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C044314', 'C044534', 'C044305', 'C047244', 'C047169', 'C047242', 'C047246', 'C047167', 'C047162', 'C047243', 'C047168']",ec
DQCD00-A900GETJD,DQCD00,/items/DQCD00A900GETJD/000001_1686710964.jpg,/items/DQCD00A900GETJD/000001_1686710964.jpg,百崴收納 26cm寬八層鞋櫃收納櫃-白色,"百崴收納 26cm寬八層鞋櫃收納櫃-白色\r\n窄長設計，適合玄關區域使用
有效的收納空間和分隔設計
簡約且現代化的設計風格",1199,1199,,,,1,0,"['C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C047244', 'C047169', 'C047242', 'C047246', 'C047167', 'C047162', 'C047243', 'C047168']",ec
DEABJA-A900AXATM,DQCD3E,/items/DEABJAA900AXATM/000001_1680745694.jpg,/items/DEABJAA900AXATM/000001_1680745694.jpg,TZUMii雙門十層鞋櫃-白色,"TZUMii雙門十層鞋櫃-白色\r\n●大容量10層可收納
●半開放式結合使用更便利
●結構穩固不易搖晃

★其他規格選擇★►胡桃木色►白色►淺橡木色",1249,1249,,,,1,0,[],ec
DEABHV-A900G037B,DQCD3G,/items/DEABHVA900G037B/000001_1675992766.jpg,/items/DEABHVA900G037B/000001_1675992766.jpg,《HOPMA》和風雙門五層鞋櫃 玄關櫃 收納櫃 置物櫃 鞋架 二門 大容量,"《HOPMA》和風雙門五層鞋櫃 台灣製造 玄關櫃 收納櫃 置物櫃 鞋架 二門 大容量\r\n◆產品特色
。mit台灣製造
。diy自行組裝 
。大空間收納
。活動式層板設計",910,910,,,,1,0,[],ec
DEABHV-A900G0382,DQCD3G,/items/DEABHVA900G0382/000001_1675992850.jpg,/items/DEABHVA900G0382/000001_1675992850.jpg,《HOPMA》和風多變雙門五層鞋櫃 玄關櫃 收納櫃 置物櫃 鞋架 二門 大容量,"《HOPMA》和風多變雙門五層鞋櫃 台灣製造 玄關櫃 收納櫃 置物櫃 鞋架 二門 大容量\r\n◆產品特色
。mit台灣製造
。diy自行組裝 
。大空間收納
。活動式層板設計",1023,1023,,,,1,0,[],ec
DEABJA-A900AXDER,DQCD3E,/items/DEABJAA900AXDER/000001_1701914610.jpg,/items/DEABJAA900AXDER/000001_1701914610.jpg,TZUMii雙門十層鞋櫃-淺橡木色,"TZUMii雙門十層鞋櫃-淺橡木色\r\n●大容量10層可收納
●半開放式結合使用更便利
●結構穩固不易搖晃

★其他規格選擇★►胡桃木色►白色►淺橡木色",1249,1249,,,,1,0,[],ec
DEABHV-A900C7DA1,DQCD3G,/items/DEABHVA900C7DA1/000001_1640663364.jpg,/items/DEABHVA900C7DA1/000001_1640663364.jpg,《HOPMA》復刻經典六層鞋櫃/收納櫃/置物櫃/玄關櫃,"《HOPMA》復刻經典七層鞋櫃 台灣製造 玄關櫃 開放收納櫃 置物邊櫃 鞋架\r\n。mit台灣製造
。diy自行組裝 
。可調式活動層板
。30.5cm內深好收納
。導圓角貼心安全設計",1162,1162,,,,1,0,[],ec
DEABHV-A900G0AP9,DQCD3G,/items/DEABHVA900G0AP9/000001_1692583579.jpg,/items/DEABHVA900G0AP9/000001_1692583579.jpg,《HOPMA》大容量二門一抽鞋櫃 玄關櫃 收納櫃 置物邊櫃 鞋架-拼版柚木,"《HOPMA》大容量二門一抽鞋櫃 台灣製造 玄關櫃 收納櫃 置物邊櫃 鞋架-拼版柚木\r\n★mit台灣製造
★diy自行組裝
★霧黑金屬質感把手
★抽屜防落安全卡榫
★磁扣開合設計",1624,1624,,,,1,0,"{'1': 'C044306', '2': 'C044307', '3': 'C044308', '4': 'C044314', '5': 'C044534', '6': 'C044305'}",ec
DEABJA-A900F77O3,DQCD3E,/items/DEABJAA900F77O3/000001_1655704780.jpg,/items/DEABJAA900F77O3/000001_1655704780.jpg,TZUMii佐藤雙門鞋櫃,"TZUMii佐藤雙門鞋櫃\r\n●居家必備款
●活動板自由調整高度
●奶茶色門把，質感提升
●大容量收納空間",849,849,,,,1,0,[],ec
DEABHV-A900EN7M6,DQCD3G,/items/DEABHVA900EN7M6/000001_1646201901.jpg,/items/DEABHVA900EN7M6/000001_1646201901.jpg,《HOPMA》經典雙色四門大容量鞋櫃/收納櫃/置物櫃/玄關櫃,"《HOPMA》經典雙色四門大容量鞋櫃 台灣製造 玄關櫃 開放收納櫃 置物邊櫃\r\n。mit台灣製造。diy自行組裝 
。可調式活動層板。透氣孔設計
。前後踢腳板更穩固",2086,2086,,,,1,0,"{'1': 'C044306', '2': 'C044302', '3': 'C044304', '4': 'C044307', '5': 'C044308', '6': 'C044303', '7': 'C044301', '8': 'C044314', '9': 'C044532', '10': 'C044313', '11': 'C044534', '12': 'C044305'}",ec
DEABHV-A900G3Z8K,DQCD3G,/items/DEABHVA900G3Z8K/000001_1685066795.jpg,/items/DEABHVA900G3Z8K/000001_1685066795.jpg,《HOPMA》樂活開放式十層鞋櫃 玄關櫃 開放收納櫃 置物邊櫃 鞋架-拼版柚木,"《HOPMA》樂活開放式十層鞋櫃 台灣製造 玄關櫃 開放收納櫃 置物邊櫃 鞋架-拼版柚木\r\n。mit台灣製 
。diy自行組裝 
。六片活動層板，可依需求調整高度

◤拼版柚木",1374,1374,,,,1,0,[],ec
DQCD0C-A900GRJ23,DQCD0C,/items/DQCD0CA900GRJ23/000001_1698204263.jpg,/items/DQCD0CA900GRJ23/000001_1698204263.jpg,百崴收納 26cm寬八層鞋櫃收納櫃-雙色可選,百崴收納 26cm寬八層鞋櫃收納櫃-雙色可選\r\n,1199,1199,,,,1,0,"['C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C047244', 'C047169', 'C047242', 'C047246', 'C047167', 'C047162', 'C047243', 'C047168']",ec
DEDB8P-A900FTKLP,DQCD04,/items/DEDB8PA900FTKLP/000001_1670319114.jpg,/items/DEDB8PA900FTKLP/000001_1670319114.jpg,【慢慢家居】簡約北歐風大容量六層滑門收納鞋櫃 (收納櫃 鞋櫃 移門鞋櫃),"【慢慢家居】簡約北歐風大容量六層滑門收納鞋櫃 (收納櫃 鞋櫃 移門鞋櫃)\r\n順暢滑門開合 層板靈活可調

※順暢滑門設計 開合省空間
※可調節層板 靈活放置
※複合背板結構 穩固耐用
※底部開放儲物 輕鬆換鞋無壓力
※寬敞大臺面 進出隨手置物
※實木把手 圓形木櫸腿",2500,2500,,,,1,0,"{'1': 'C044306', '2': 'C044302', '3': 'C044304', '4': 'C044307', '5': 'C044308', '6': 'C044303', '7': 'C044301', '8': 'C044314', '9': 'C044532', '10': 'C044313', '11': 'C044534', '12': 'C044305'}",ec
DEABHV-A90094ACD,DQCD3G,/items/DEABHVA90094ACD/000001_1701139849.jpg,/items/DEABHVA90094ACD/000001_1701139849.jpg,《HOPMA》工業風四門十層鞋櫃-淺橡木,"《HOPMA》工業風四門十層鞋櫃 台灣製造 玄關櫃 開放收納櫃 置物邊櫃 鞋架-淺橡(漂流)木\r\n★mit台灣製造
★diy自行組裝
★大容量收納機能鞋櫃
★門板伸縮轉軸輕鬆組裝
★活動層板擺放不設限

◤漂流木色
◤拼版柚木",1610,1610,,,,1,0,"{'1': 'C044306', '2': 'C044307', '3': 'C044308', '4': 'C044314', '5': 'C044534', '6': 'C044305'}",ec
DEABHV-A900FXU39,DQCD3G,/items/DEABHVA900FXU39/000001_1673839057.jpg,/items/DEABHVA900FXU39/000001_1673839057.jpg,《HOPMA》日式雙門四層鞋櫃 玄關櫃 收納櫃 置物邊櫃 鞋架-淺橡木(漂流木),"《HOPMA》日式雙門四層鞋櫃 台灣製造 玄關櫃 收納櫃 置物邊櫃 鞋架-淺橡(漂流)木\r\nmit台灣製造 diy傢具
金屬質感把手
磁扣開合設計
層板半圓孔溝槽固定不滑動
附腳粒保護地板被刮傷",1063,1063,,,,1,0,[],ec
DQCD3G-A900G9OW5,DQCD3G,/items/DQCD3GA900G9OW5/000001_1705559938.jpg,/items/DQCD3GA900G9OW5/000001_1705559938.jpg,《HOPMA》樂活四門五層鞋櫃 玄關櫃 開放收納櫃 置物邊櫃 鞋架-淺橡(漂流)木,"《HOPMA》樂活四門五層鞋櫃 台灣製造 玄關櫃 收納櫃 置物邊櫃 鞋架-淺橡(漂流)木\r\n。mit台灣製 
。diy自行組裝 
。活動板設計方便依鞋子調整高度 

◤淺橡木
◤拼版柚木",1601,1601,,,,1,0,"{'1': 'C044306', '2': 'C044307', '3': 'C044308', '4': 'C044314', '5': 'C044534', '6': 'C044305'}",ec
DEDB8Z-A900FHIK4,DQCD0C,/items/DEDB8ZA900FHIK4/000001_1663125217.jpg,/items/DEDB8ZA900FHIK4/000001_1663125217.jpg,【AccessCo】典雅六層寬版置鞋櫃_BF-SU981,"【AccessCo】典雅六層寬版置鞋櫃_BF-SU981\r\n◆多功能置物鞋櫃，適合小家庭擺放
◆用途廣泛，也可當電話桌使用
◆開放性空間設計，收取輕鬆便利",1699,1699,,,,1,0,"['C044306', 'C044307', 'C044308', 'C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C044314', 'C044534', 'C044305', 'C047244', 'C047169', 'C047242', 'C047246', 'C047167', 'C047162', 'C047243', 'C047168']",ec
DEDB8Z-A900FHIEC,DQCD0C,/items/DEDB8ZA900FHIEC/000001_1663124333.jpg,/items/DEDB8ZA900FHIEC/000001_1663124333.jpg,【AccessCo】典雅七層鞋櫃_BF-SU980,"【AccessCo】典雅七層鞋櫃_BF-SU980\r\n◆多功能置物鞋櫃，適合小家庭擺放
◆用途廣泛，也可當電話桌使用
◆開放性空間設計，收取輕鬆便利",1199,1199,,,,1,0,"['C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C047244', 'C047169', 'C047242', 'C047246', 'C047167', 'C047162', 'C047243', 'C047168']",ec
DQCD04-A900GBYGX,DQCD04,/items/DQCD04A900GBYGX/000001_1684230666.jpg,/items/DQCD04A900GBYGX/000001_1684230666.jpg,【HappyLife】楠竹翻斗鞋櫃/三門70cm (Y11227),"【HappyLife】楠竹翻斗鞋櫃/三門70cm (Y11227)\r\n佔地面積小
附防倒器可上牆
加高15cm櫃腳
翻門好收納",2490,2490,,,,1,0,"['C044306', 'C044302', 'C044304', 'C044307', 'C044308', 'C044303', 'C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C044301', 'C044314', 'C044532', 'C044313', 'C044534', 'C044305', 'C047169', 'C047167', 'C047162', 'C047168']",ec
DQCD04-A900GE7VC,DQCD04,/items/DQCD04A900GE7VC/000001_1686110195.jpg,/items/DQCD04A900GE7VC/000001_1686110195.jpg,【HappyLife】楠竹茶色翻門鞋櫃/三層70cm (Y11236),"【HappyLife】楠竹茶色翻門鞋櫃/三層70cm (Y11236)\r\n長虹壓克力門
多層大容量
翻門設計
層板可拆卸",1088,1088,,,,1,0,"['C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C047169', 'C047167', 'C047162', 'C047168']",ec
DQCD3G-A900G9POD,DQCD3G,/items/DQCD3GA900G9POD/000001_1682571662.jpg,/items/DQCD3GA900G9POD/000001_1682571662.jpg,《HOPMA》百搭風格多功能穿鞋椅 收納櫃 置物櫃 鞋櫃 邊櫃 玄關櫃 鞋架-拼版柚木,"《HOPMA》百搭風格多功能穿鞋椅 台灣製造 收納櫃 置物櫃 鞋櫃 邊櫃 玄關櫃 鞋架-拼版柚木\r\n◆產品特色
。mit台灣製造
。diy自行組裝 
。面板一體成型
。鐵架材質",1374,1374,,,,1,0,[],ec
DQCD04-A900GE7VF,DQCD04,/items/DQCD04A900GE7VF/000001_1686110216.jpg,/items/DQCD04A900GE7VF/000001_1686110216.jpg,【HappyLife】楠竹茶色翻門鞋櫃/七層70cm (Y11238),"【HappyLife】楠竹茶色翻門鞋櫃/七層70cm (Y11238)\r\n長虹壓克力門
多層大容量
翻門設計
層板可拆卸",2599,2599,,,,1,0,"['C044306', 'C044302', 'C044304', 'C044307', 'C044308', 'C044303', 'C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C044301', 'C044314', 'C044532', 'C044313', 'C044534', 'C044305', 'C047169', 'C047167', 'C047162', 'C047168']",ec
DQCD0C-A900GRJ28,DQCD0C,/items/DQCD0CA900GRJ28/000001_1698203700.jpg,/items/DQCD0CA900GRJ28/000001_1698203700.jpg,百崴收納 42cm寬八層鞋櫃收納櫃-雙色可選,百崴收納 42cm寬八層鞋櫃收納櫃-雙色可選\r\n,1499,1499,,,,1,0,"['C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C047244', 'C047169', 'C047242', 'C047246', 'C047167', 'C047162', 'C047243', 'C047168']",ec
DEDB8Z-A900BUMII,DQCD0C,/items/DEDB8ZA900BUMII/000001_1633577522.jpg,/items/DEDB8ZA900BUMII/000001_1633577522.jpg,楠竹系列-四層收納鞋架/開放式鞋櫃,"【Style】楠竹製-簡約四層收納鞋架/開放式鞋櫃/鞋架\r\n●今日下單 明日出貨●
★四層設計 大容量
★精選楠竹材質 高承重
★加厚層板 加粗立柱",1380,1380,,,,1,0,"['C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C047169', 'C047167', 'C047162', 'C047168']",ec
QFAA20-A9007J3UO,DQCD0C,/items/QFAA20A9007J3UO/000001_1478550365.jpg,/items/QFAA20A9007J3UO/000001_1478550365.jpg,SH027 凱斯達七層鞋櫃60*30*高120(CM),"LOGIS．凱斯達七層鞋櫃60*30*高120(CM)  衣櫃 置物櫃 書櫃 收納櫃(SH027)\r\n搭配門板更美化
兩色可選
活動層板+固定層板
diy組裝",1980,1980,,,,1,0,"['C044306', 'C044307', 'C044308', 'C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C044314', 'C044534', 'C044305', 'C047169', 'C047167', 'C047162', 'C047168']",ec
DEAB4Q-A900AWG9K,DQCD00,/items/DEAB4QA900AWG9K/000001_1601365214.jpg,/items/DEAB4QA900AWG9K/000001_1601365214.jpg,【fioJa 費歐家】 側開式 1列9層 組合鞋櫃 鞋架(鞋櫃 組合鞋櫃 ),"【fioJa 費歐家】 側開式 1列9層 組合鞋櫃\r\n讓您的鞋子有舒適空間!井然有序的排排站
鞋櫃可調整隔板，自由彈性運用~
收納各尺寸大鞋、小鞋更方便~

組裝容易 美觀大方
透明門板 一覽無遺",898,898,,,,1,0,"['C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C047169', 'C047167', 'C047162', 'C047168']",ec
DEAB4Q-A900AWNIE,DQCD03,/items/DEAB4QA900AWNIE/000001_1661948488.jpg,/items/DEAB4QA900AWNIE/000001_1661948488.jpg,【fioJa 費歐家】 側開式 3列6層 組合鞋櫃 鞋架(鞋櫃 組合鞋櫃 ),"【fioJa 費歐家】 側開式 3列6層 組合鞋櫃\r\n讓您的鞋子有舒適空間!井然有序的排排站
鞋櫃可調整隔板，自由彈性運用~
收納各尺寸大鞋、小鞋更方便~

大容量多層組合收納鞋櫃，告別到處找鞋，
隔板可自由調整，短靴、長靴皆可輕鬆放置！
拆裝方便。擁有超大容量，完美收納你的愛鞋們！
堅固耐用，品質保證，買就附贈雨傘架喔！",1390,1390,,,,1,0,"['C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C047244', 'C047169', 'C047242', 'C047246', 'C047167', 'C047162', 'C047243', 'C047168']",ec
DQCD01-A900GSBL4,DQCD01,/items/DQCD01A900GSBL4/000001_1698716630.jpg,/items/DQCD01A900GSBL4/000001_1698716630.jpg,【RICHOME】免組裝布簾鞋櫃,"【RICHOME】免組裝布簾鞋櫃/開放式/附布套/可折疊\r\n✓ 純白鐵管現代設計
✓ 韓系奶茶風格
✓ 耐重40kg
✓ 環保板材低甲醛、防潑水耐刮",999,999,,,,1,0,"['C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C047169', 'C047167', 'C047168']",ec
QFAAM0-A900A6RTS,DQCD3G,/items/QFAAM0A900A6RTS/000001_1685520983.jpg,/items/QFAAM0A900A6RTS/000001_1685520983.jpg,《Hopma》現代雙門六層鞋櫃,"《HOPMA》現代雙門六層鞋櫃 台灣製造 玄關櫃 開放收納櫃 置物邊櫃\r\n。mit台灣製 
。diy自行組裝 
。磁扣開合設計
。層板半圓孔溝槽固定不滑動
。附腳粒保護地板被刮傷
。透氣孔設計",1212,1212,,,,1,0,[],ec
DEABHV-A900G3ZBU,DQCD3G,/items/DEABHVA900G3ZBU/000001_1678070869.jpg,/items/DEABHVA900G3ZBU/000001_1678070869.jpg,《HOPMA》設計款二門五層鞋櫃 玄關櫃 收納櫃 置物櫃 鞋架 雙門 大容量-淺橡(漂流)木,"《HOPMA》設計款二門五層鞋櫃 台灣製造 玄關櫃 收納櫃 置物櫃 鞋架 雙門 大容量-淺橡(漂流)木\r\n◆產品特色
。mit台灣製造
。diy自行組裝 
。大空間收納
。活動式層板設計",1100,1100,,,,1,0,[],ec
DEABHV-A900FXU69,DQCD3G,/items/DEABHVA900FXU69/000001_1673839826.jpg,/items/DEABHVA900FXU69/000001_1673839826.jpg,《HOPMA》合馬雙門鞋櫃 玄關櫃 收納櫃 置物邊櫃 鞋架-白橡配白,"《HOPMA》合馬雙門鞋櫃 台灣製造 玄關櫃 收納櫃 置物邊櫃 鞋架-白橡配白\r\n金屬質感把手
磁扣開合設計
層板半圓孔溝槽固定不滑動
附腳粒保護地板被刮傷
防撞墊片貼心設計",1161,1161,,,,1,0,[],ec
DEDB8Z-A900G0FVW,DQCD0C,/items/DEDB8ZA900G0FVW/000001_1676283405.jpg,/items/DEDB8ZA900G0FVW/000001_1676283405.jpg,實木鞋櫃,實木鞋櫃\r\n,2624,2624,,,,1,0,"['C044306', 'C044302', 'C044304', 'C044307', 'C044308', 'C044303', 'C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C044301', 'C044314', 'C044532', 'C044313', 'C044534', 'C044305', 'C047169', 'C047167', 'C047162', 'C047168']",ec
QFAA8D-A9008XPLR,DQCD3G,/items/QFAA8DA9008XPLR/000001_1564121225.jpg,/items/QFAA8DA9008XPLR/000001_1564121225.jpg,《HOPMA》加寬開放式五層鞋櫃,"《HOPMA》加寬開放式五層鞋櫃 台灣製造 玄關櫃 開放收納櫃 置物邊櫃\r\n。mit台灣製造
。diy商品
。歐盟等級e1塑合板
。可放28雙鞋
。簍空設計達到通風透氣效果",874,874,,,,1,0,[],ec
DEABHV-A900F8BAH,DQCD3G,/items/DEABHVA900F8BAH/000001_1704333799.jpg,/items/DEABHVA900F8BAH/000001_1704333799.jpg,《HOPMA》大容量二門一抽鞋櫃-漂流木,"《HOPMA》大容量二門一抽鞋櫃 台灣製造 玄關櫃 收納櫃 置物邊櫃 鞋架-淺橡(漂流)木\r\n★mit台灣製造
★diy自行組裝
★霧黑金屬質感把手
★抽屜防落安全卡榫
★磁扣開合設計",1624,1624,,,,1,0,"{'1': 'C044306', '2': 'C044307', '3': 'C044308', '4': 'C044314', '5': 'C044534', '6': 'C044305'}",ec
DQAV71-A900G4R9K,DQCD3E,/items/DQAV71A900G4R9K/000001_1678766150.jpg,/items/DQAV71A900G4R9K/000001_1678766150.jpg,TZUMii四門二格鞋櫃-雙色可選,"TZUMii四門二格鞋櫃-雙色可選\r\n●四門+開放空間收納更便利
●輕巧但具多層大容量收納
●活動板可依需求調整高度
●門把設計好開關",1249,1249,,,,1,0,[],ec
DEDB8Z-A900B3WFQ,DQCD0C,/items/DEDB8ZA900B3WFQ/000001_1611133116.jpg,/items/DEDB8ZA900B3WFQ/000001_1611133116.jpg,H&R安室家 日系優雅五層木質鞋櫃 SHF19,"H&R安室家 日系優雅五層木質鞋櫃 SHF19\r\n五層收納空間 
開放式拿取便利 
雙色配色不呆板",999,999,,,,1,0,"['C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C047244', 'C047169', 'C047242', 'C047246', 'C047167', 'C047162', 'C047243', 'C047168']",ec
DQCD3G-A900GMQTQ,DQCD3G,/items/DQCD3GA900GMQTQ/000001_1693806955.jpg,/items/DQCD3GA900GMQTQ/000001_1693806955.jpg,《HOPMA》樂活四門五層鞋櫃 玄關櫃 收納櫃 置物邊櫃 鞋架-拼版柚木,"《HOPMA》樂活四門五層鞋櫃 台灣製造 玄關櫃 收納櫃 置物邊櫃 鞋架-拼版柚木\r\n。mit台灣製 
。diy自行組裝 
。活動板設計方便依鞋子調整高度 

◤淺橡木
◤拼版柚木",1601,1601,,,,1,0,"{'1': 'C044306', '2': 'C044307', '3': 'C044308', '4': 'C044314', '5': 'C044534', '6': 'C044305'}",ec
